id,title,price,unitprice,roomtype,floor,Total floor,direction,Construction time,area,region,street,Distance Center,Building area,House structure,Inside area,Building Type,building structure,Decoration,Scale of households,Heating mode,Equipped with elevator,Listing time,Transaction ownership,Last transaction,usage of houses,Housing years,Ownership,mortgage
1,海淀西四环 精装三居 不临街 花园式小区 满五年唯一,865万,68175元/平米,3室1厅,中楼层,共12层,东,2003年建,玉阜嘉园,海淀,玉泉路,四至五环,126.88,平层,104.92,板楼,钢混结构,精装,两梯八户,自供暖,有,2020/6/11,商品房,2005/7/7,普通住宅,满五年,非共有,无
2,盛嘉华苑 一居室 东向 看房方便,206万,35561元/平米,2室1厅,顶层,共18层,东,2012年建,盛嘉华苑,大兴,枣园,五至六环,57.93,平层,48.2,板塔结合,钢混结构,简装,两梯六户,集中供暖,有,2020/6/9,限价商品房,2015/2/6,普通住宅,满五年,非共有,无
3,新都丽苑 3室2厅 599万,599万,48918元/平米,3室2厅,高楼层,共18层,南北,2002年建,新都丽苑,石景山,杨庄,五至六环,122.45,平层,100.1,板塔结合,钢混结构,精装,一梯两户,集中供暖,有,2020/6/2,商品房,2015/12/9,普通住宅,满两年,非共有,有
4,首座御园二期，满2年两梯四户板楼户型,315万,33504元/平米,2室1厅,中楼层,共14层,西南,2015年建,首座御园二区二期,大兴,枣园,五至六环,94.02,平层,暂无数据,板塔结合,钢混结构,简装,一梯四户,集中供暖,有,2020/6/11,商品房,2018/4/23,普通住宅,满两年,非共有,无
5,房子空置，看房方便，南北通透，采光好。,451万,81867元/平米,2室1厅,中楼层,共5层,南北,1972年建,永安南里,朝阳,建国门外,二至三环,55.09,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/6/11,央产房,2011/4/18,普通住宅,满五年,非共有,无
6,西城二环边 东南三居 高楼层视野好 三世同堂 满五唯一,1380万,81484元/平米,3室1厅,中楼层,共14层,东南,2003年建,荣丰2008,西城,广安门,二至三环,169.36,平层,140.77,塔楼,钢混结构,精装,两梯七户,集中供暖,有,2020/6/11,商品房,2008/7/24,普通住宅,满五年,非共有,无
7,东二环朝阳门 西北两居 带客厅 满五年 诚意出售,574万,74965元/平米,2室1厅,低楼层,共20层,西北,1996年建,朝阳门南大街,朝阳,朝阳门外,二至三环,76.57,平层,暂无数据,塔楼,钢混结构,精装,两梯八户,集中供暖,有,2020/6/13,已购公房,1999/7/1,普通住宅,满五年,非共有,无
8,商品房满五年唯一   小区中间  三居两卫,539万,38839元/平米,3室1厅,低楼层,共6层,南北,2005年建,龙跃苑四区,昌平,回龙观,五至六环,138.78,平层,125.9,板楼,混合结构,精装,一梯两户,自供暖,无,2020/6/2,商品房,2014/5/21,普通住宅,满五年,非共有,有
9,商品房满五唯一，税费少，精装修，南北通透,555万,50455元/平米,3室2厅,中楼层,共34层,南北,2014年建,融泽嘉园,昌平,回龙观,五至六环,110,平层,80.04,板楼,钢混结构,精装,两梯三户,集中供暖,有,2020/6/11,二类经济适用房,2015/2/10,普通住宅,满五年,非共有,无
10,中国银行宿舍，环境好，管理严 满五年 不唯一,1850万,138163元/平米,3室2厅,低楼层,共6层,南北,1998年建,冠英园小区,西城,官园,二环内近,133.9,平层,95.86,板楼,钢混结构,简装,一梯两户,集中供暖,无,2020/6/10,央产房,2004/9/9,普通住宅,满五年,非共有,无
