,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
0,"(1876-09-26)September 26, 1876Grand Island, Nebraska","July 28, 1957(1957-07-28) (aged 80)Grand Island, Nebraska","Economist, Social Worker, Educator, Author.",Othman A. Abbott and Elizabeth M. (Griffin),Edith_Abbott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Kamer Daron Acemoğlu (1967-09-03) September 3, 1967 (age 52)Istanbul, Turkey",,,,Daron_Acemoglu,Turkey and United States,Asu Ozdaglar,MIT (1993–present)NBER (1996–present)London School of Economics (1992–93),"Political economy, Economic growth, Labour economics",New institutional economics,"London School of Economics (MSc 1990, PhD 1992)University of York (BA 1989)",Kevin W. S. Roberts,Robert Shimer • Mark Aguiar • Pol Antràs • Gabriel Carroll • Melissa Dell • Benjamin Jones,Joel Mokyr • Kenneth Sokoloff • Douglass North • Seymour Martin Lipset • Barrington Moore,John Bates Clark Medal (2005)John von Neumann Award (2007)Erwin Plein Nemmers Prize in Economics (2012)BBVA Foundation Frontiers of Knowledge Award (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," (1939-07-03) 3 July 1939 (age 80)Calitri, Italy",,,,Nicola_Acocella,,,Sapienza University of Rome,"Microeconomics, Macroeconomics, Public Policy",,Sapienza University of Rome,,,"Federico Caffè, Bruno de Finetti, Luigi Einaudi, Ragnar Frisch, Jan Tinbergen, Henri Theil, Edmund Phelps, Paolo Sylos Labini, Ezio Tarantelli, Giancarlo Gandolfo","First Medal from the University of Rome ‘La Sapienza’ for 'excellence research' in the theory of economic policy in a strategic context, 2009",Italian,"Theory of economic policy, Monetary policy, Fiscal policy European institutions, Oligopoly, Transnational corporations, Theory of public goods, Globalization, Labour market, Trade unions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1947 (age 72–73)Villach, Austria",,,,Zoltan_Acs,,,"London School of Economics, George Mason University",,Keynesian economics,The New School,,,,,United States and Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(1851-12-31)December 31, 1851Davenport, Iowa","August 11, 1921(1921-08-11) (aged 69)Ann Arbor, Michigan",Economist,,Henry_Carter_Adams,,,,,,,,,,,,,"Studies about economics, especially public debts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(1922-08-27)August 27, 1922Vienna, Austria","September 8, 1998(1998-09-08) (aged 76)East Lansing, Michigan",Economist and college professor,,Walter_Adams_(economist),,,,,,,,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," (1956-08-17) August 17, 1956 (age 63)Paris, France",,,,Philippe_Aghion,,,"Harvard University, London School of Economics, Paris School of Economics","New Dynamics, Endogenous growth theory, Econometrics, Macroeconomics",,"Harvard University (Ph.D., 1987)École Normale Supérieure de Cachan (E.N.S., 1976)University of Paris 1 Pantheon-Sorbonne (DEA, 1981)","Yves Balasko (Ph.D., 1983)Jerry R. Green (Ph.D., 1987)",Richard Holden,,"Yrjö Jahnsson Award (2001)
John von Neumann Award (2009)",France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," (1943-11-24) 24 November 1943 (age 76)New Delhi, British India",,,,Montek_Singh_Ahluwalia,,Isher Judge Ahluwalia,,,,,,,,,,,,K.C. Pant,"University of Delhi (B.A.)University of Oxford (M.A., M.Phil.)",EconomistCivil servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," (1943-03-12) 12 March 1943 (age 77)Sylhet, Assam, British India",,"Economist, environmentalist",,Qazi_Kholiquzzaman_Ahmad,,Zaheda Ahmad,,,,University of DhakaLondon School of Economics,,,,,Bangladeshi,,Chairman of Dhaka School of Economics and Palli Karma-Sahayak Foundation,,,,qkahmad.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"George Arthur Akerlof (1940-06-17) June 17, 1940 (age 80)New Haven, Connecticut, U.S.",,,,George_Akerlof,,Janet Yellen,"Georgetown UniversityUniversity of California, Berkeley",,New Keynesian economics,Lawrenceville SchoolYale University (B.A.)MIT (Ph.D.)London School of Economics,Robert Solow[1],Charles EngelAdriana Kugler,John Maynard Keynes,Nobel Memorial Prize in Economic Sciences (2001),United States,Information asymmetryEfficiency wages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
